scorer,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680
bodyparts,Poll,Poll,Poll,Ear_tip,Ear_tip,Ear_tip,Forehead,Forehead,Forehead,Eye,Eye,Eye,Forehead_eye,Forehead_eye,Forehead_eye,Nose,Nose,Nose,Chin,Chin,Chin,Throat_latch_bottom,Throat_latch_bottom,Throat_latch_bottom,Throat_latch_top,Throat_latch_top,Throat_latch_top,Neck_base_bottom,Neck_base_bottom,Neck_base_bottom,Chest_top,Chest_top,Chest_top,Chest_botom,Chest_botom,Chest_botom,Elbow_front,Elbow_front,Elbow_front,Elbow_back,Elbow_back,Elbow_back,Mid_forearm_front,Mid_forearm_front,Mid_forearm_front,Mid_forearm_back,Mid_forearm_back,Mid_forearm_back,Knee_front,Knee_front,Knee_front,Knee_back,Knee_back,Knee_back,Cannon_front,Cannon_front,Cannon_front,Cannon_back,Cannon_back,Cannon_back,Fetlock_front,Fetlock_front,Fetlock_front,Fetlock_back,Fetlock_back,Fetlock_back,Pastern_front,Pastern_front,Pastern_front,Pastern_back,Pastern_back,Pastern_back,Hoof_upper_front,Hoof_upper_front,Hoof_upper_front,Hoof_upper_back,Hoof_upper_back,Hoof_upper_back,Hoof_lower_front,Hoof_lower_front,Hoof_lower_front,Hoof_lower_back,Hoof_lower_back,Hoof_lower_back,Barrel_below_withers,Barrel_below_withers,Barrel_below_withers,Mid_belly,Mid_belly,Mid_belly,Stiffle_front,Stiffle_front,Stiffle_front,Gaskin_front,Gaskin_front,Gaskin_front,Gaskin_back,Gaskin_back,Gaskin_back,Hock_front,Hock_front,Hock_front,Hock_back,Hock_back,Hock_back,Hind_cannon_front,Hind_cannon_front,Hind_cannon_front,Hind_cannon_back,Hind_cannon_back,Hind_cannon_back,Hind_fetlock_front,Hind_fetlock_front,Hind_fetlock_front,Hind_fetlock_back,Hind_fetlock_back,Hind_fetlock_back,Hind_pastern_front,Hind_pastern_front,Hind_pastern_front,Hind_pastern_back,Hind_pastern_back,Hind_pastern_back,Hind_hoof_upper_front,Hind_hoof_upper_front,Hind_hoof_upper_front,Hind_hoof_upper_back,Hind_hoof_upper_back,Hind_hoof_upper_back,Hind_hoof_lower_front,Hind_hoof_lower_front,Hind_hoof_lower_front,Hind_hoof_lower_back,Hind_hoof_lower_back,Hind_hoof_lower_back,Buttock,Buttock,Buttock,Dock,Dock,Dock,Croup_top,Croup_top,Croup_top,Back_bottom,Back_bottom,Back_bottom,Withers,Withers,Withers,Neck_base_top,Neck_base_top,Neck_base_top,Crest_above_chest,Crest_above_chest,Crest_above_chest,Far_knee_center,Far_knee_center,Far_knee_center,Far_fetlock_center,Far_fetlock_center,Far_fetlock_center,Far_hoof_center,Far_hoof_center,Far_hoof_center,Far_hind_knee_center,Far_hind_knee_center,Far_hind_knee_center,Far_hind_fetlock_center,Far_hind_fetlock_center,Far_hind_fetlock_center,Far_hind_hoof_center,Far_hind_hoof_center,Far_hind_hoof_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,169.20522,74.48452,0.8182036,143.68587,43.23835,0.8854973,133.48418,95.9501,0.81187034,139.82442,129.89944,1.0,108.669266,135.86652,0.90002877,69.96311,208.4631,0.90123093,117.512924,225.2968,0.94738287,198.71437,180.25266,0.8168009,203.7273,133.83025,0.9203447,318.55716,258.45624,0.8616798,327.04874,292.5492,0.99191076,338.15616,328.79208,0.9650763,368.10596,355.48788,0.9932473,439.1067,358.33936,0.8554317,383.3234,423.10706,0.92989206,426.64035,423.75034,0.9506086,390.6383,483.65738,0.8669556,423.60562,483.2881,0.917234,396.86093,536.35114,0.9247246,421.11075,536.15656,0.9502346,394.43774,580.17725,0.87750745,422.35098,580.90466,1.0,386.6743,595.88354,0.99409395,402.63257,605.528,0.7824527,375.05115,609.5637,0.9695522,401.31522,622.6378,0.74571735,361.3645,628.8734,0.8434619,393.53732,631.34076,0.8520817,481.63428,371.7206,0.8936304,612.04785,384.52805,0.9322854,703.98706,323.3212,0.9072767,758.9952,388.92776,0.8894487,814.08276,367.73938,0.94463944,803.5637,474.18,0.8489432,842.04553,473.45282,0.6138853,817.2768,532.9296,0.57173544,843.0857,532.4962,0.6935589,818.2831,583.6868,0.81802964,849.27997,582.785,0.7227145,816.54974,602.9493,0.9225411,835.8886,609.2218,0.88032854,809.06976,617.24365,0.84669393,838.6024,630.2634,0.75525534,796.4817,638.80237,0.84768045,831.8819,640.68195,0.7270638,843.3539,242.56485,0.8409962,788.87006,159.71275,0.6707158,700.22284,136.95045,0.927248,534.92175,162.31767,0.9578629,457.44617,129.63791,0.76147777,398.32776,129.03401,0.65950507,276.7802,94.53438,0.48752332,446.19275,471.94574,0.82836384,467.85498,566.7619,1.0,450.97528,615.7004,0.9424147,777.14526,459.59772,0.8431648,762.43604,581.03467,0.688738,732.29333,622.1206,0.5001079
