scorer,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680,DLC_Resnet50_pose_analysisJun27shuffle1_snapshot_680
bodyparts,Poll,Poll,Poll,Ear_tip,Ear_tip,Ear_tip,Forehead,Forehead,Forehead,Eye,Eye,Eye,Forehead_eye,Forehead_eye,Forehead_eye,Nose,Nose,Nose,Chin,Chin,Chin,Throat_latch_bottom,Throat_latch_bottom,Throat_latch_bottom,Throat_latch_top,Throat_latch_top,Throat_latch_top,Neck_base_bottom,Neck_base_bottom,Neck_base_bottom,Chest_top,Chest_top,Chest_top,Chest_botom,Chest_botom,Chest_botom,Elbow_front,Elbow_front,Elbow_front,Elbow_back,Elbow_back,Elbow_back,Mid_forearm_front,Mid_forearm_front,Mid_forearm_front,Mid_forearm_back,Mid_forearm_back,Mid_forearm_back,Knee_front,Knee_front,Knee_front,Knee_back,Knee_back,Knee_back,Cannon_front,Cannon_front,Cannon_front,Cannon_back,Cannon_back,Cannon_back,Fetlock_front,Fetlock_front,Fetlock_front,Fetlock_back,Fetlock_back,Fetlock_back,Pastern_front,Pastern_front,Pastern_front,Pastern_back,Pastern_back,Pastern_back,Hoof_upper_front,Hoof_upper_front,Hoof_upper_front,Hoof_upper_back,Hoof_upper_back,Hoof_upper_back,Hoof_lower_front,Hoof_lower_front,Hoof_lower_front,Hoof_lower_back,Hoof_lower_back,Hoof_lower_back,Barrel_below_withers,Barrel_below_withers,Barrel_below_withers,Mid_belly,Mid_belly,Mid_belly,Stiffle_front,Stiffle_front,Stiffle_front,Gaskin_front,Gaskin_front,Gaskin_front,Gaskin_back,Gaskin_back,Gaskin_back,Hock_front,Hock_front,Hock_front,Hock_back,Hock_back,Hock_back,Hind_cannon_front,Hind_cannon_front,Hind_cannon_front,Hind_cannon_back,Hind_cannon_back,Hind_cannon_back,Hind_fetlock_front,Hind_fetlock_front,Hind_fetlock_front,Hind_fetlock_back,Hind_fetlock_back,Hind_fetlock_back,Hind_pastern_front,Hind_pastern_front,Hind_pastern_front,Hind_pastern_back,Hind_pastern_back,Hind_pastern_back,Hind_hoof_upper_front,Hind_hoof_upper_front,Hind_hoof_upper_front,Hind_hoof_upper_back,Hind_hoof_upper_back,Hind_hoof_upper_back,Hind_hoof_lower_front,Hind_hoof_lower_front,Hind_hoof_lower_front,Hind_hoof_lower_back,Hind_hoof_lower_back,Hind_hoof_lower_back,Buttock,Buttock,Buttock,Dock,Dock,Dock,Croup_top,Croup_top,Croup_top,Back_bottom,Back_bottom,Back_bottom,Withers,Withers,Withers,Neck_base_top,Neck_base_top,Neck_base_top,Crest_above_chest,Crest_above_chest,Crest_above_chest,Far_knee_center,Far_knee_center,Far_knee_center,Far_fetlock_center,Far_fetlock_center,Far_fetlock_center,Far_hoof_center,Far_hoof_center,Far_hoof_center,Far_hind_knee_center,Far_hind_knee_center,Far_hind_knee_center,Far_hind_fetlock_center,Far_hind_fetlock_center,Far_hind_fetlock_center,Far_hind_hoof_center,Far_hind_hoof_center,Far_hind_hoof_center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,167.30104,73.03818,0.7560765,160.4526,40.205208,1.0,140.03763,91.643105,0.9109666,150.31996,129.10632,0.9441213,113.356804,139.13751,0.9035534,77.849785,213.91191,0.92044973,123.95267,230.0777,0.8566529,195.104,187.15503,0.87186664,209.39983,143.44969,0.80073786,287.9466,281.9049,0.8574552,296.67603,318.4649,0.9492346,310.25455,360.52063,1.0,338.81506,384.83887,1.0,404.84808,383.31744,0.90756077,355.56357,450.48825,0.98588145,400.49722,448.3964,0.9207059,365.09772,513.53296,0.99587005,399.06915,512.0612,0.9499909,373.59235,564.1796,1.0,399.37448,563.376,0.949974,372.88492,607.97955,0.95088553,401.81717,608.4597,0.9470573,366.09186,624.2716,0.9786781,381.44543,633.90424,0.9515771,355.03107,639.744,0.9301271,376.6642,647.73425,0.7752192,348.047,652.593,0.78953147,372.68625,654.953,0.78398186,457.25235,392.09106,0.77399683,559.1631,380.108,0.8271793,649.9485,331.0671,0.96955013,699.5178,399.24948,0.86944956,754.8582,381.23962,0.90261656,746.2476,490.47983,0.6902777,785.1546,486.11627,0.75835866,759.04425,550.0428,0.6125413,787.045,548.45416,0.6235568,758.02423,600.99896,0.5764112,789.098,603.85986,0.6103973,751.5685,622.3487,0.5075655,769.5567,630.4584,0.52711624,741.6815,638.43414,0.5722468,766.54926,649.0793,0.4228336,732.06604,654.77325,0.54467773,760.37915,657.1924,0.39725065,792.56323,237.93175,0.8296273,761.8622,181.26543,0.8914,668.05206,148.74463,1.0,496.9651,186.55507,0.9720057,443.89493,171.2542,0.86271644,375.41766,165.06339,0.85778004,263.2749,108.15934,0.6953267,427.37125,497.43002,0.8882836,452.60913,598.0521,1.0,433.4608,644.8739,0.7340289,695.3505,479.47144,0.7399952,661.8381,604.3864,0.82280743,628.2707,640.7934,0.5943789
